date,value_NIKKEI_25_JP
2020-04-07,18950.18
2020-04-06,18576.3
2020-04-03,17820.19
2020-04-02,17818.72
2020-04-01,18065.41
2020-03-31,18917.01
2020-03-30,19084.97
2020-03-27,19389.43
2020-03-26,18664.6
2020-03-25,19546.63
2020-03-24,18092.35
2020-03-23,16887.78
2020-03-19,16552.83
2020-03-18,16726.55
2020-03-17,17011.53
2020-03-16,17002.04
2020-03-13,17431.05
2020-03-12,18559.63
2020-03-11,19416.06
2020-03-10,19867.12
2020-03-09,19698.76
2020-03-06,20749.75
2020-03-05,21329.12
2020-03-04,21100.06
2020-03-03,21082.73
2020-03-02,21344.08
2020-02-28,21142.96
2020-02-27,21948.23
2020-02-26,22426.19
2020-02-25,22605.41
2020-02-21,23386.74
2020-02-20,23479.15
2020-02-19,23400.7
2020-02-18,23193.8
2020-02-17,23523.24
2020-02-14,23687.59
2020-02-13,23827.73
2020-02-12,23861.21
2020-02-10,23685.98
2020-02-07,23827.98
2020-02-06,23873.59
2020-02-05,23319.56
2020-02-04,23084.59
2020-02-03,22971.94
2020-01-31,23205.18
2020-01-30,22977.75
2020-01-29,23379.4
2020-01-28,23215.71
2020-01-27,23343.51
2020-01-24,23827.18
2020-01-23,23795.44
2020-01-22,24031.35
2020-01-21,23864.56
2020-01-20,24083.51
2020-01-17,24041.26
2020-01-16,23933.13
2020-01-15,23916.58
2020-01-14,24025.17
2020-01-10,23850.57
2020-01-09,23739.87
2020-01-08,23204.76
2020-01-07,23575.72
2020-01-06,23204.86
2019-12-30,23656.62
2019-12-27,23837.72
2019-12-26,23924.92
2019-12-25,23782.87
2019-12-24,23830.58
2019-12-23,23821.11
2019-12-20,23816.63
2019-12-19,23864.85
2019-12-18,23934.43
2019-12-17,24066.12
2019-12-16,23952.35
2019-12-13,24023.1
2019-12-12,23424.81
2019-12-11,23391.86
2019-12-10,23410.19
2019-12-09,23430.7
2019-12-06,23354.4
2019-12-05,23300.09
2019-12-04,23135.23
2019-12-03,23379.81
2019-12-02,23529.5
2019-11-29,23293.91
2019-11-28,23409.14
2019-11-27,23437.77
2019-11-26,23373.32
2019-11-25,23292.81
2019-11-22,23112.88
2019-11-21,23038.58
2019-11-20,23148.57
2019-11-19,23292.65
2019-11-18,23416.76
2019-11-15,23303.32
2019-11-14,23141.55
2019-11-13,23319.87
2019-11-12,23520.01
2019-11-11,23331.84
2019-11-08,23391.87
2019-11-07,23330.32
2019-11-06,23303.82
2019-11-05,23251.99
2019-11-01,22850.77
2019-10-31,22927.04
2019-10-30,22843.12
2019-10-29,22974.13
2019-10-28,22867.27
2019-10-25,22799.81
2019-10-24,22750.6
2019-10-23,22625.38
2019-10-21,22548.9
2019-10-18,22492.68
2019-10-17,22451.86
2019-10-16,22472.92
2019-10-15,22207.21
2019-10-11,21798.87
2019-10-10,21551.98
2019-10-09,21456.38
2019-10-08,21587.78
2019-10-07,21375.25
2019-10-04,21410.2
2019-10-03,21341.74
2019-10-02,21778.61
2019-10-01,21885.24
2019-09-30,21755.84
2019-09-27,21878.9
2019-09-26,22048.24
2019-09-25,22020.15
2019-09-24,22098.84
2019-09-20,22079.09
2019-09-19,22044.45
2019-09-18,21960.71
2019-09-17,22001.32
2019-09-13,21988.29
2019-09-12,21759.61
2019-09-11,21597.76
2019-09-10,21392.1
2019-09-09,21318.42
2019-09-06,21199.57
2019-09-05,21085.94
2019-09-04,20649.14
2019-09-03,20625.16
2019-09-02,20620.19
2019-08-30,20704.37
2019-08-29,20460.93
2019-08-28,20479.42
2019-08-27,20456.08
2019-08-26,20261.04
2019-08-23,20710.91
2019-08-22,20628.01
2019-08-21,20618.57
2019-08-20,20677.22
2019-08-19,20563.16
2019-08-16,20418.81
2019-08-15,20405.65
2019-08-14,20655.13
2019-08-13,20455.44
2019-08-09,20684.82
2019-08-08,20593.35
2019-08-07,20516.56
2019-08-06,20585.31
2019-08-05,20720.29
2019-08-02,21087.16
2019-08-01,21540.99
2019-07-31,21521.53
2019-07-30,21709.31
2019-07-29,21616.8
2019-07-26,21658.15
2019-07-25,21756.55
2019-07-24,21709.57
2019-07-23,21620.88
2019-07-22,21416.79
2019-07-19,21466.99
2019-07-18,21046.24
2019-07-17,21469.18
2019-07-16,21535.25
2019-07-12,21685.9
2019-07-11,21643.53
2019-07-10,21533.48
2019-07-09,21565.15
2019-07-08,21534.35
2019-07-05,21746.38
2019-07-04,21702.45
2019-07-03,21638.16
2019-07-02,21754.27
2019-07-01,21729.97
2019-06-28,21275.92
2019-06-27,21338.17
2019-06-26,21086.59
2019-06-25,21193.81
2019-06-24,21285.99
2019-06-21,21258.64
2019-06-20,21462.86
2019-06-19,21333.87
2019-06-18,20972.71
2019-06-17,21124.0
2019-06-14,21116.89
2019-06-13,21032.0
2019-06-12,21129.72
2019-06-11,21204.28
2019-06-10,21134.42
2019-06-07,20884.71
2019-06-06,20774.04
2019-06-05,20776.1
2019-06-04,20408.54
2019-06-03,20410.88
2019-05-31,20601.19
2019-05-30,20942.53
2019-05-29,21003.37
2019-05-28,21260.14
2019-05-27,21182.58
2019-05-24,21117.22
2019-05-23,21151.14
2019-05-22,21283.37
2019-05-21,21272.45
2019-05-20,21301.73
2019-05-17,21250.09
2019-05-16,21062.98
2019-05-15,21188.56
2019-05-14,21067.23
2019-05-13,21191.28
2019-05-10,21344.92
2019-05-09,21402.13
2019-05-08,21602.59
2019-05-07,21923.72
2019-04-26,22258.73
2019-04-25,22307.58
2019-04-24,22200.0
2019-04-23,22259.74
2019-04-22,22217.9
2019-04-19,22200.56
2019-04-18,22090.12
2019-04-17,22277.97
2019-04-16,22221.66
2019-04-15,22169.11
2019-04-12,21870.56
2019-04-11,21711.38
2019-04-10,21687.57
2019-04-09,21802.59
2019-04-08,21761.65
2019-04-05,21807.5
2019-04-04,21724.95
2019-04-03,21713.21
2019-04-02,21505.31
2019-04-01,21509.03
2019-03-29,21205.81
2019-03-28,21033.76
2019-03-27,21378.73
2019-03-26,21428.39
2019-03-25,20977.11
2019-03-22,21627.34
2019-03-20,21608.92
2019-03-19,21566.85
2019-03-18,21584.5
2019-03-15,21450.85
2019-03-14,21287.02
2019-03-13,21290.24
2019-03-12,21503.69
2019-03-11,21125.09
2019-03-08,21025.56
2019-03-07,21456.01
2019-03-06,21596.81
2019-03-05,21726.28
2019-03-04,21822.04
2019-03-01,21602.69
2019-02-28,21385.16
2019-02-27,21556.51
2019-02-26,21449.39
2019-02-25,21528.23
2019-02-22,21425.51
2019-02-21,21464.23
2019-02-20,21431.49
2019-02-19,21302.65
2019-02-18,21281.85
2019-02-15,20900.63
2019-02-14,21139.71
2019-02-13,21144.48
2019-02-12,20864.21
2019-02-08,20333.17
2019-02-07,20751.28
2019-02-06,20874.06
2019-02-05,20844.45
2019-02-04,20883.77
2019-02-01,20788.39
2019-01-31,20773.49
2019-01-30,20556.54
2019-01-29,20664.64
2019-01-28,20649.0
2019-01-25,20773.56
2019-01-24,20574.63
2019-01-23,20593.72
2019-01-22,20622.91
2019-01-21,20719.33
2019-01-18,20666.07
2019-01-17,20402.27
2019-01-16,20442.75
2019-01-15,20555.29
2019-01-11,20359.7
2019-01-10,20163.8
2019-01-09,20427.06
2019-01-08,20204.04
2019-01-07,20038.97
2019-01-04,19561.96
