,date,China,France,Germany,Italy,Japan,Spain,US
0,2020-01-22,548,0,0,0,2,0,1
1,2020-01-23,95,0,0,0,0,0,0
2,2020-01-24,277,2,0,0,0,0,1
3,2020-01-25,486,1,0,0,0,0,0
4,2020-01-26,669,0,0,0,2,0,3
5,2020-01-27,802,0,1,0,0,0,0
6,2020-01-28,2632,1,3,0,3,0,0
7,2020-01-29,578,1,0,0,0,0,0
8,2020-01-30,2054,0,0,0,4,0,0
9,2020-01-31,1661,0,1,2,4,0,2
10,2020-02-01,2089,1,3,0,5,1,1
11,2020-02-02,4739,0,2,0,0,0,0
12,2020-02-03,3086,0,2,0,0,0,3
13,2020-02-04,3991,0,0,0,2,0,0
14,2020-02-05,3733,0,0,0,0,0,0
15,2020-02-06,3147,0,0,0,0,0,0
16,2020-02-07,3523,0,1,1,3,0,0
17,2020-02-08,2704,5,0,0,0,0,0
18,2020-02-09,3015,0,1,0,1,1,0
19,2020-02-10,2525,0,0,0,0,0,0
20,2020-02-11,2032,0,2,0,0,0,1
21,2020-02-12,373,0,0,0,2,0,0
22,2020-02-13,15136,0,0,0,0,0,1
23,2020-02-14,6463,0,0,0,1,0,0
24,2020-02-15,2055,1,0,0,14,0,0
25,2020-02-16,2100,0,0,0,16,0,0
26,2020-02-17,1921,0,0,0,7,0,0
27,2020-02-18,1777,0,0,0,8,0,0
28,2020-02-19,408,0,0,0,10,0,0
29,2020-02-20,458,0,0,0,10,0,0
30,2020-02-21,473,0,0,17,11,0,2
31,2020-02-22,1451,0,0,42,17,0,0
32,2020-02-23,21,0,0,93,25,0,0
33,2020-02-24,219,0,0,74,12,0,36
34,2020-02-25,513,2,1,93,11,4,0
35,2020-02-26,412,4,10,131,19,7,6
36,2020-02-27,434,20,19,202,25,2,1
37,2020-02-28,328,19,2,233,14,17,2
38,2020-02-29,428,43,31,240,13,13,8
39,2020-03-01,576,30,51,566,15,39,6
40,2020-03-02,204,61,29,342,18,36,24
41,2020-03-03,125,13,37,466,19,45,20
42,2020-03-04,125,84,66,587,38,57,31
43,2020-03-05,151,92,220,769,29,37,68
44,2020-03-06,153,276,188,778,60,141,45
45,2020-03-07,80,303,129,1247,41,100,140
46,2020-03-08,53,177,241,1492,41,173,116
47,2020-03-09,37,83,136,1797,9,400,65
48,2020-03-10,27,575,281,977,70,622,376
49,2020-03-11,34,499,451,2313,58,582,322
50,2020-03-12,11,0,170,0,0,0,382
51,2020-03-13,13,1388,1597,5198,62,2955,516
52,2020-03-14,32,815,910,3497,72,1159,548
53,2020-03-15,26,36,1210,3590,66,1407,772
54,2020-03-16,30,2151,1477,3233,0,2144,1133
55,2020-03-17,25,1032,1985,3526,39,1806,1789
56,2020-03-18,44,1409,3070,4207,11,2162,1362
57,2020-03-19,54,1846,2993,5322,35,4053,5964
58,2020-03-20,94,1788,4528,5986,39,2447,5526
59,2020-03-21,55,1705,2365,6557,44,4964,6327
60,2020-03-22,130,1780,2660,5560,94,3394,7676
61,2020-03-23,63,3880,4183,4789,27,6368,10571
62,2020-03-24,93,2499,3930,5249,65,4749,9893
63,2020-03-25,70,2978,4337,5210,114,9630,12038
64,2020-03-26,121,3951,6615,6203,80,8271,18058
65,2020-03-27,115,3851,6933,5909,81,7933,17821
66,2020-03-28,102,4703,6824,5974,225,7516,19821
67,2020-03-29,123,2603,4400,5217,173,6875,19431
68,2020-03-30,76,4462,4790,4050,0,7846,20928
69,2020-03-31,81,7657,4923,4053,87,7967,26335
70,2020-04-01,82,4922,6064,4782,225,8195,25200
71,2020-04-02,71,2180,6922,4668,317,7947,30244
72,2020-04-03,79,5273,6365,4585,122,7134,31970
73,2020-04-04,32,25646,4933,4805,522,6969,33264
74,2020-04-05,59,2925,4031,4316,0,5478,28222
75,2020-04-06,63,5190,3251,3599,515,5029,29595
76,2020-04-07,53,11102,4289,3039,252,5267,29556
